Group,Marker Icon,Marker Color,Icon Color,Custom Size,Project,Developer,Hotline,Image,Logo,Website,Brochure,Head Offices,Area,BUA,Consulting,Facebook,Instagram,Launched,Delivery,Finishing,St.Apt.A,End.Apt.A,St.Apt.P,End.Apt.P,Apartment,D.P,Inst.,Del.P,Payment Plan,Cash Dis.,Long Install.,Garage,Club,Maintenance,Latitude,Longitude
Residential,home,LightGreen,black,,Fifth Square,ALMARASEM,16090,"https://static.wixstatic.com/media/e32222_3403d01eeb354b16860531bb3d4cd13d~mv2.jpg/v1/fill/w_980,h_471,al_c,q_85,usm_0.66_1.00_0.01/Page-6-Image-20.webp",https://almarasemdevelopment.com/wp-content/uploads/2018/08/logo14.png,<a href='https://almarasemdevelopment.com/fifth-square/' target='_blank'>Website</a>,<a href='https://headway-egypt.com/wp-content/uploads/2018/11/Al-Marasem-Development-fifth-sqare.pdf' target='_blank'>Brochure</a>,"North 90 st, Fifth Square Compound",158 feddan,,,,,,,,,,,,,,,,,,,,,,30.0499226,31.5373477
Residential,home,LightGreen,black,,La Fontaine Province,ARCO ,16229,,https://img1.wsimg.com/isteam/ip/98d7a23d-ed4c-4cee-83c7-757783521c78/Untitled.png/:/rs=h:216/qt=q:95,<a href='https://arcoegypt.com/' target='_blank'>Website</a>,"<a href='https://wixlabs-pdf-dev.appspot.com/assets/pdfjs/web/viewer.html?file=%2Fpdfproxy%3Finstance%3DEtKOtsScUJn6Yq2JW77zTpQzhx3vQfXLAVVu1Lh_Al4.eyJpbnN0YW5jZUlkIjoiODY2ZTI1NjYtNTVjNy00NzJmLTlmMjUtZTgyMTMxOWI1NGY3IiwiYXBwRGVmSWQiOiIxM2VlMTBhMy1lY2I5LTdlZmYtNDI5OC1kMmY5ZjM0YWNmMGQiLCJtZXRhU2l0ZUlkIjoiZWY3OWI3YWYtYzllMy00ZGZjLThmNGUtYzIwYjM1MjgzMmYxIiwic2lnbkRhdGUiOiIyMDIyLTAxLTIzVDEzOjE2OjQ2LjUwM1oiLCJkZW1vTW9kZSI6ZmFsc2UsImFpZCI6Ijk2NzIxYTU5LTM0NjYtNDkxNS1hMzQ1LWJmMjAxMmJiM2E0OCIsImJpVG9rZW4iOiI2OTE3OTJjOS05YzI0LTBhZDMtMTA2Yi0yYTJhMDRiMzY2MDYiLCJzaXRlT3duZXJJZCI6ImUzMjIyMjJjLTZjYzQtNDU3ZS1iYTAyLWFiOWU1ZDUxOGU4MyJ9%26compId%3Dcomp-jaz680pf%26url%3Dhttps%3A%2F%2Fmedia.wix.com%2Fugd%2Fe32222_90ea134498024dc9859b8f11a00a72f1.pdf&rng=1642943816011#page=1&zoom=auto,-12,-179&links=true&allowPrinting=false&allowDownload=false&originalFileName=LA%20FONTAINE%20BROCHURE' target='_blank'>Brochure</a>","2 Aly Rashed st., Star Capital 1, CityStars, Heliopolis",,,,,,,,,,,,,,,,,,,,,,,30.0385032,31.5366177
Residential,home,red,black,,New Project,Castle Development,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.043928,31.506785
Residential,home,LightGreen,black,,Tamr Henna,Elmoltqa / Eltayebi,15295 / 16170,http://photos.wikimapia.org/p/00/02/86/23/33_full.jpg,<https://elmoltqa.com/images/favicon300.png><https://eltayebi.com/ar/layout/images/footer-logo.png>,<a href='https://elmoltqa.com/projects/index.php?lang=ar&name=Tamr-Henna' target='_blank'>Website 1</a><br><a href='https://eltayebi.com/ar/projects/project-details.php?id=6' target='_blank'>Website 2</a>,<a href='file:///C:/Users/castle-pc2/Downloads/download.pdf' target='_blank'>Brochure 1</a><br><a href='https://eltayebi.com/uploads/Brochure/Buena%20Vista%20Residence%20W_S.pdf' target='_blank'>Brochure 2</a>,1 شارع مكرم عبيد / 231 امتداد غرب الجولف - القطامية,"932,104.42 m²",,,,,,,,,,,,,,,,,,,,,,30.0426501,31.5337032
Residential,home,LightGreen,black,,Mivida Compound,Emaar,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.0093126,31.537735
Residential,home,LightGreen,black,,El patio Oro,La vista,16063,https://www.lavista.com.eg/public/uploads/15812533771581253377_5e400301c04ca.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvH9GmkNZjhi6r_yMShKw96S0If0-0SXDH0QMjWSCHIv1AjqNFk5afkwknpmABrqP86q8&usqp=CAU,<a href='https://www.lavista.com.eg/project/El-PATIO-ORO/ElPATIOORO' target='_blank'>Website</a>,<a href='https://drive.google.com/file/d/1NCInYvW7pH8sgCJJGnq8X3gBJBCnKDKY/view?usp=sharing' target='_blank'>Brochure</a>,"1 El Akhbar, St, El Nozha",50 Acre,,,,,,,,,,,,,,,,,,,,,,30.0248953,31.5939719
Residential,home,LightGreen,black,,La vista City,La vista,16063,https://www.lavista.com.eg/public/uploads/15815157791581515779_5e440403eb483.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvH9GmkNZjhi6r_yMShKw96S0If0-0SXDH0QMjWSCHIv1AjqNFk5afkwknpmABrqP86q8&usqp=CAU,<a href='https://www.lavista.com.eg/project/El-PATIO-ORO/ElPATIOORO' target='_blank'>Website</a>,<a href='https://drive.google.com/file/d/1sQhIEjyhv39Q0AC2TJ5u-1CxX3lrWWpV/view?usp=sharing' target='_blank'>Brochure 1</a><br><a href='https://drive.google.com/file/d/1wMvlCavOpx8gx1VpAzro6STJKWDtQVAC/view?usp=sharing' target='_blank'>Brochure 2</a>,"1 El Akhbar, St, El Nozha",,,,,,,,,,,,,,,,,,,,,,,30.0029471,31.595582
Residential,home,LightGreen,black,,Mountain View 2,Mountain View,16201,https://mountainviewegypt.com/system/App/Entities/Project/masterplan_images/000/000/002/large/MV%20II.png,https://mountainviewegypt.com/images/MVLogo-Yellow.svg,<a href='https://mountainviewegypt.com/projects/16-mountain-view-iii' target='_blank'>Website</a>,<a href='https://www.mountainviewegypt.com/projects/brochure/mv2/mv2.pdf' target='_blank'>Brochure</a>,"Building 183, behind Dusit Thani",,,,,,,,,,,,,,,,,,,,,,,30.0327635,31.5309636
Residential,home,LightGreen,black,,Mountain View iCity,Mountain View,16201,https://mountainviewegypt.com/system/App/Entities/Project/masterplan_images/000/000/005/large/Master-Plan.jpg,https://mountainviewegypt.com/images/MVLogo-Yellow.svg,<a href='https://mountainviewegypt.com/projects/5-mountain-view-icity-new-cairo' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.069027,31.5928011
Residential,home,LightGreen,black,,Mountain View Hyde Park,MVHP,16201,,https://mountainviewegypt.com/images/MVLogo-Yellow.svg,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,29.9875186,31.5555302
Residential,home,LightGreen,black,,Zed East,Ora,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,29.9733989,31.5669343
